@relation fire.detection

@attribute Red numeric
@attribute Green numeric
@attribute Blue numeric
@attribute Hue numeric
@attribute Saturation numeric
@attribute Brightness numeric
@attribute Class {TRUE, FALSE}

@data
%Estoy en: /projects/examen/src/../src/no/100127121532_1_900x600.jpg
714.982483,779.097473,891.769348,7.296792,2.506767,3.497181,FALSE
%Estoy en: /projects/examen/src/../src/si/6e2f64766aec1e3b94d691dbf778ca31_fire_behaviour_anglesea_20161128.jpg
970.396240,977.561890,946.637512,4.855550,1.430962,3.962073,FALSE
936.453735,902.716858,954.549988,7.755023,1.657037,3.859761,FALSE
1457.055054,1400.675659,1450.248169,7.316753,1.127895,5.845041,FALSE
1469.029419,1439.757446,1458.279419,5.524150,1.299852,6.017282,FALSE
1754.704346,1735.698120,1750.358765,6.007967,0.806872,7.032115,FALSE
1024.230591,847.553101,755.375000,2.581419,3.136108,4.041793,FALSE
1089.153809,1001.364380,985.543762,6.004224,1.936076,4.329245,FALSE
871.437500,773.059387,827.330017,8.798691,1.873534,3.506881,FALSE
1200.495605,1158.626221,1169.744995,5.775281,1.503890,4.924465,FALSE
1400.243774,1458.280029,1568.977539,6.937559,1.571396,6.207532,FALSE
2042.885620,1489.949341,1160.869995,1.940964,5.216462,8.041928,FALSE
1198.013184,812.907471,744.424988,4.237327,4.605218,4.698743,FALSE
1803.857544,1082.350586,705.200623,3.069156,6.509933,7.076265,FALSE
1351.829346,1095.121826,1071.428711,5.101523,2.546821,5.354289,FALSE
1453.402466,1410.680664,1435.739380,5.580583,2.002874,6.094646,FALSE
2053.770020,1350.168701,1078.606934,3.975166,5.362853,8.075344,FALSE
1789.757446,1101.813721,813.844360,3.664789,6.207400,7.019483,FALSE
1947.903076,1102.745605,742.803772,1.922893,7.281409,7.640488,FALSE
2101.316895,1228.912476,880.296265,2.753710,6.771424,8.240705,FALSE
2013.594971,1410.608765,1330.664429,4.100081,4.050477,7.898119,FALSE
1705.675659,1387.859375,1042.243774,1.024711,4.894914,6.692355,FALSE
1460.584351,1165.395020,893.273132,1.454359,4.876007,5.731009,FALSE
1165.464355,893.748108,773.891235,3.055073,4.271463,4.571325,FALSE
1377.553101,1092.345581,921.289368,2.860795,4.257765,5.410359,FALSE
